company_id,company_name,capital_allocation_label,previous_pattern,current_pattern,changed
ABB,Abbott India Ltd,Balanced,Unknown,Balanced,Pending Year Fix
ADANIENSOL,Adani Energy Solutions Ltd,Reinvestor,Unknown,Reinvestor,Pending Year Fix
ADANIENT,Adani Enterprises Ltd,Balanced,Unknown,Balanced,Pending Year Fix
ADANIGREEN,Adani Green Energy Ltd,Reinvestor,Unknown,Reinvestor,Pending Year Fix
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Reinvestor,Unknown,Reinvestor,Pending Year Fix
ADANIPOWER,Adani Power Ltd,Balanced,Unknown,Balanced,Pending Year Fix
AMBUJACEM,Ambuja Cements Ltd,Balanced,Unknown,Balanced,Pending Year Fix
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Balanced,Unknown,Balanced,Pending Year Fix
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Balanced,Unknown,Balanced,Pending Year Fix
AXISBANK,Axis Bank Ltd,Reinvestor,Unknown,Reinvestor,Pending Year Fix
BAJAJ-AUTO,Bajaj Auto Ltd,Balanced,Unknown,Balanced,Pending Year Fix
BAJAJFINSV,Bajaj Finserv Ltd,Balanced,Unknown,Balanced,Pending Year Fix
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Reinvestor,Unknown,Reinvestor,Pending Year Fix
BAJFINANCE,Bajaj Finance Ltd,Reinvestor,Unknown,Reinvestor,Pending Year Fix
BANKBARODA,Bank of Baroda,Balanced,Unknown,Balanced,Pending Year Fix
BEL,Bharat Electronics Ltd,Reinvestor,Unknown,Reinvestor,Pending Year Fix
BHARTIARTL,Bharti Airtel Ltd,Reinvestor,Unknown,Reinvestor,Pending Year Fix
BHEL,"Bharat Heavy Electricals Limited
",Balanced,Unknown,Balanced,Pending Year Fix
BOSCHLTD,Bosch Ltd,Balanced,Unknown,Balanced,Pending Year Fix
BPCL,Bharat Petroleum Corporation Ltd,Balanced,Unknown,Balanced,Pending Year Fix
BRITANNIA,Britannia Industries Ltd,Balanced,Unknown,Balanced,Pending Year Fix
CANBK,Canara Bank,Balanced,Unknown,Balanced,Pending Year Fix
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Balanced,Unknown,Balanced,Pending Year Fix
CIPLA,"Cipla Ltd
",Balanced,Unknown,Balanced,Pending Year Fix
COALINDIA,Coal India Ltd,Balanced,Unknown,Balanced,Pending Year Fix
DABUR,Dabur India Ltd,Balanced,Unknown,Balanced,Pending Year Fix
DIVISLAB,Divis Laboratories Ltd,Balanced,Unknown,Balanced,Pending Year Fix
DLF,DLF Ltd,Reinvestor,Unknown,Reinvestor,Pending Year Fix
DMART,Avenue Supermarts Ltd,Balanced,Unknown,Balanced,Pending Year Fix
DRREDDY,Dr Reddys Laboratories Ltd,Balanced,Unknown,Balanced,Pending Year Fix
EICHERMOT,Eicher Motors Ltd,Reinvestor,Unknown,Reinvestor,Pending Year Fix
GAIL,GAIL (India) Ltd,Balanced,Unknown,Balanced,Pending Year Fix
GODREJCP,Godrej Consumer Products Ltd,Balanced,Unknown,Balanced,Pending Year Fix
GRASIM,Grasim Industries Ltd,Balanced,Unknown,Balanced,Pending Year Fix
HAL,Hindustan Aeronautics Ltd,Reinvestor,Unknown,Reinvestor,Pending Year Fix
HAVELLS,Havells India Ltd,Balanced,Unknown,Balanced,Pending Year Fix
HCLTECH,HCL Technologies Ltd,Balanced,Unknown,Balanced,Pending Year Fix
HDFCBANK,HDFC Bank Ltd,Balanced,Unknown,Balanced,Pending Year Fix
HDFCLIFE,HDFC Life Insurance Company Ltd,Balanced,Unknown,Balanced,Pending Year Fix
HEROMOTOCO,"Hero MotoCorp Ltd
",Balanced,Unknown,Balanced,Pending Year Fix
HINDALCO,Hindalco Industries Ltd,Balanced,Unknown,Balanced,Pending Year Fix
HINDUNILVR,"Hindustan Unilever Ltd
",Balanced,Unknown,Balanced,Pending Year Fix
ICICIBANK,ICICI Bank Ltd,Reinvestor,Unknown,Reinvestor,Pending Year Fix
ICICIGI,ICICI Lombard General Insurance Company Ltd,Balanced,Unknown,Balanced,Pending Year Fix
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Balanced,Unknown,Balanced,Pending Year Fix
INDIGO,Interglobe Aviation Ltd,Balanced,Unknown,Balanced,Pending Year Fix
INDUSINDBK,IndusInd Bank Ltd,Balanced,Unknown,Balanced,Pending Year Fix
INFY,Infosys Ltd,Balanced,Unknown,Balanced,Pending Year Fix
IOC,"Indian Oil Corporation
",Balanced,Unknown,Balanced,Pending Year Fix
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Balanced,Unknown,Balanced,Pending Year Fix
IRFC,Indian Railway Finance Corporation Ltd,Balanced,Unknown,Balanced,Pending Year Fix
ITC,"ITC Ltd
",Reinvestor,Unknown,Reinvestor,Pending Year Fix
JINDALSTEL,Jindal Steel & Power Ltd,Balanced,Unknown,Balanced,Pending Year Fix
JIOFIN,Jio Financial Services Ltd,Reinvestor,Unknown,Reinvestor,Pending Year Fix
JSWENERGY,JSW Energy Ltd,Balanced,Unknown,Balanced,Pending Year Fix
JSWSTEEL,JSW Steel Ltd,Balanced,Unknown,Balanced,Pending Year Fix
KOTAKBANK,"Kotak Mahindra Bank Ltd
",Balanced,Unknown,Balanced,Pending Year Fix
LICI,Life Insurance Corporation of India,Balanced,Unknown,Balanced,Pending Year Fix
LODHA,Macrotech Developers Ltd,Reinvestor,Unknown,Reinvestor,Pending Year Fix
LT,Larsen & Toubro Ltd,Balanced,Unknown,Balanced,Pending Year Fix
LTIM,LTIMindtree Ltd,Balanced,Unknown,Balanced,Pending Year Fix
M&M,"Mahindra & Mahindra Ltd
",Balanced,Unknown,Balanced,Pending Year Fix
MARUTI,Maruti Suzuki India Ltd,Balanced,Unknown,Balanced,Pending Year Fix
MOTHERSON,Samvardhana Motherson International Ltd,Balanced,Unknown,Balanced,Pending Year Fix
NAUKRI,Info Edge (India) Ltd,Balanced,Unknown,Balanced,Pending Year Fix
NESTLEIND,Nestle India Ltd,Balanced,Unknown,Balanced,Pending Year Fix
NHPC,"NHPC Ltd
",Reinvestor,Unknown,Reinvestor,Pending Year Fix
NTPC,NTPC Ltd,Reinvestor,Unknown,Reinvestor,Pending Year Fix
ONGC,Oil & Natural Gas Corpn Ltd,Reinvestor,Unknown,Reinvestor,Pending Year Fix
PFC,Power Finance Corporation Ltd,Balanced,Unknown,Balanced,Pending Year Fix
PIDILITIND,Pidilite Industries Ltd,Balanced,Unknown,Balanced,Pending Year Fix
PNB,Punjab National Bank,Balanced,Unknown,Balanced,Pending Year Fix
POWERGRID,Power Grid Corporation of India Ltd,Reinvestor,Unknown,Reinvestor,Pending Year Fix
RECLTD,REC Ltd,Balanced,Unknown,Balanced,Pending Year Fix
RELIANCE,"Reliance Industries Ltd
",Balanced,Unknown,Balanced,Pending Year Fix
SBILIFE,SBI Life Insurance Company Ltd,Balanced,Unknown,Balanced,Pending Year Fix
SHREECEM,Shree Cement Ltd,Balanced,Unknown,Balanced,Pending Year Fix
SHRIRAMFIN,"Shriram Finance Ltd
",Balanced,Unknown,Balanced,Pending Year Fix
SIEMENS,Siemens Ltd,Balanced,Unknown,Balanced,Pending Year Fix
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,Reinvestor,Unknown,Reinvestor,Pending Year Fix
TATACONSUM,Tata Consumer Products Ltd,Balanced,Unknown,Balanced,Pending Year Fix
TATAMOTORS,Tata Motors Ltd,Balanced,Unknown,Balanced,Pending Year Fix
TATAPOWER,"Tata Power Company Ltd
",Reinvestor,Unknown,Reinvestor,Pending Year Fix
TATASTEEL,"Tata Steel Ltd
",Balanced,Unknown,Balanced,Pending Year Fix
TCS,Tata Consultancy Services Ltd,Balanced,Unknown,Balanced,Pending Year Fix
TECHM,Tech Mahindra Ltd,Balanced,Unknown,Balanced,Pending Year Fix
TITAN,"Titan Company Ltd
",Balanced,Unknown,Balanced,Pending Year Fix
TORNTPHARM,Torrent Pharmaceuticals Ltd,Balanced,Unknown,Balanced,Pending Year Fix
TRENT,Trent Ltd,Balanced,Unknown,Balanced,Pending Year Fix
TVSMOTOR,TVS Motor Company Ltd,Balanced,Unknown,Balanced,Pending Year Fix
ULTRACEMCO,,Reinvestor,Unknown,Reinvestor,Pending Year Fix
UNIONBANK,,Balanced,Unknown,Balanced,Pending Year Fix
